union_type,union_name,union_location,union_members,union_detail_href
IATSE,STAGE & PICTURE OPERATORS Local 16,240 2ND STREET 1ST FLOORSAN FRANCISCO, CA 94105,988,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-16/14011
IATSE,STAGE & PICTURE OPERATORS Local 107,8130 BALDWIN STREETOAKLAND, CA 94621,150,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-107/13605
IATSE,STAGE & PICTURE OPERATORS Local 32,SANTA CLARA, CA 950552832,69,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-32/3914
IATSE,STAGE & PICTURE OPERATORS Local 134,PO BOX 28585SAN JOSE, CA 951598585,145,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-134/13492
IATSE,STAGE & PICTURE OPERATORS Local 874,Sacramento, CA 958188787,21,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-874/17498
IATSE,STAGE & PICTURE OPERATORS Local 66,SACRAMENTO, CA 95819,150,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-66/18264
IBEW,ELECTRICAL WORKERS Local 1269,870 MARKET STREETSAN FRANCISCO, CA 94102,1393,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-1269/7714
IBEW,ELECTRICAL WORKERS Local 6,55 FILLMORE STREETSAN FRANCISCO, CA 941173545,2488,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-6/13984
IBEW,ELECTRICAL WORKERS Local 617,1701 LESLIE STSAN MATEO, CA 94402,1026,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-617/7440
IBEW,ELECTRICAL WORKERS Local 302,1875 Arnold DriveMartinez, CA 945534239,1440,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-302/14750
IBEW,ELECTRICAL WORKERS Local 180,720B TECHNOLOGY WAYNAPA, CA 945587522,795,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-180/7427
IBEW,ELECTRICAL WORKERS Local 595,6250 VILLAGE PARKWAYDUBLIN, CA 945682449,2675,http://www.unions.org/unions/international-brotherhood-of-electrical-workers/local-595/11889
